PRIMARY_FACILITY_ID,FACILITY_NAME,PERMIT_NO,CLIENT_ID,CLIENT_NAME,MUNICIPALITY,COUNTY,REGION,PERMIT_TYPE,FEE_CATEGORY,LATEST_PERMIT_ISSUE_DATE,AVAILABLE_LAND,TOTAL_AEUS,LOCATION_ADDRESS,LOCATION_ADDRESS_CITY_STATE_ZIP,ANIMAL_TYPES
643632,KEYSTONE DAIRY VENTURES,PA0247031,264830,KEYSTONE DAIRY VENTURES LLC,Little Britain Twp,Lancaster,SCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,07/16/2024,661.7,1622.13,324 BALANCE MEETING RD,"PEACH BOTTOM, PA 17563-9507",Dairy - Holstein/Brown Swiss - Calf (0-1 yr) - 420 lbs (90-750)
643097,HILLANDALE ATLANTIC,PAG128301,155184,HILLANDALE GETTYSBURG LP,East Fallowfield Twp,Crawford,NWRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,07/22/2024,1,5757.24,11549 SPERRY RD,"ATLANTIC, PA 16111-2339",Poultry - Chickens - Layer (18-75 wks) - 3.13 lbs (2.82-3.44)
643097,HILLANDALE ATLANTIC,PAG128301,155184,HILLANDALE GETTYSBURG LP,East Fallowfield Twp,Crawford,NWRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,07/22/2024,1,5757.24,11549 SPERRY RD,"ATLANTIC, PA 16111-2339",Poultry - Chickens - Pullet (0-16 wks) - 1.38 lbs (0.08-2.67)
571747,WILLOW HILL FARM CAFO,PAG123777,216104,COUNTRY VIEW FAMILY FARMS LLC,Metal Twp,Franklin,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,04/12/2024,1,3271.50,12598 CREEK RD,"FANNETTSBURG, PA 17221-9707",Swine - Grow finish - 165 lbs (57-273)
688895,WALNUT RUN FARMS,PAG123790,227051,CARL G & JOHN G MYER,Penn Twp,Lancaster,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,11/22/2021,1107.7,1557.15,292 ELM RD,"LITITZ, PA 17543-9450",Beef - Finishing (8-24 mos) - 950 lbs (500-1400)
696533,PENN NATIONAL OF GRANTVILLE,PAG123793,308852,GLP CAPITAL LP,East Hanover Twp,Dauphin,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,10/19/2021,1,880,777 HOLLYWOOD BLVD,"GRANTVILLE, PA 17028-9237",Light Horses & Mules - Mature - 1100 lbs
672677,RYAN RUTT FARM CAFO,PAG123587,282925,RUTT RYAN,Penn Twp,Berks,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,07/01/2024,111.1,1038.86,524 N GARFIELD RD,"BERNVILLE, PA 19506-9017","Poultry - Chickens - Broiler, large (0-53 days) - 3.55 lbs (0.09-7.0)"
808824,BEAVER RUN FARMS INC,PAG124853,326747,BEAVER RUN FARMS INC,West Buffalo Twp,Union,NCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,12/06/2021,1,633.63,3038 BEAVER RUN RD,"MIFFLINBURG, PA 17844-7808","Poultry - Chickens - Broiler, large (0-53 days) - 3.55 lbs (0.09-7.0)"
743373,COURTER FINISHER FARM,PA0234087,288501,COURTER PHILIP,Porter Twp,Clinton,NCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,05/04/2023,251.6,1035.95,6527 JACKSONVILLE RD,"MILL HALL, PA 17751-8876",Swine - Grow finish - 165 lbs (57-273)
819445,JOHN LEFEVER CAFO,PA0266574,335299,LEFEVER JOHN R,Drumore Twp,Lancaster,SCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,05/16/2023,296.3,346.50,1045 HOLTWOOD RD,"QUARRYVILLE, PA 17566-9729","Poultry - Chickens - Layer, brown egg (18-90 wks) - 3.85 lbs (3.35-4.34)"
782473,ZUGSTEAD FARM,PAG123860,220326,ZUGSTEAD FARM INC,Walker Twp,Juniata,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,12/21/2021,873.1,1683.50,558 FREED RD,"MIFFLINTOWN, PA 17059-7772",Dairy - Holstein/Brown Swiss - Heifer (1-2 yr) - 1000 lbs (750-1250)
709823,KEREK MUSSER CAFO,PAG123665,258037,KEREK MUSSER,Rapho Twp,Lancaster,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,11/08/2021,275,845.48,2604 HOSSLER RD,"MANHEIM, PA 17545-8111",Poultry - Chickens - Layer (18-90 wks) - 3.14 lbs (weighted avg)
816143,SPRING VALLEY DAIRY,PAG123839,331870,SPRING VALLEY DAIRY LLC,Rapho Twp,Lancaster,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,01/05/2022,203.6,485.74,1577 AUCTION RD,"MANHEIM, PA 17545",Dairy - Holstein/Brown Swiss - Heifer (1-2 yr) - 1000 lbs (750-1250)
816143,SPRING VALLEY DAIRY,PAG123839,331870,SPRING VALLEY DAIRY LLC,Rapho Twp,Lancaster,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,01/05/2022,203.6,485.74,1577 AUCTION RD,"MANHEIM, PA 17545",Dairy - Holstein/Brown Swiss - Calf (0-1 yr) - 420 lbs (90-750)
696200,LANE FARM CAFO,PAG124824,253730,RODNEY E LANE,Harrison Twp,Potter,NCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,12/18/2024,444.7,842.30,251 HOWARD RD,"HARRISON VALLEY, PA 16927",Beef - Cow - 1400 lbs
572578,WALMOORE HOLSTEINS FARM,PA0244597,156308,WALMOORE HOLSTEINS INC,Londonderry Twp,Chester,SERO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,11/27/2024,1610.6,2192.53,2196 GAP NEWPORT PIKE,"COCHRANVILLE, PA 19330-9471",Beef - Calf (0-8 mos) - 300 lbs (100-500)
775993,KISH VIEW DAIRY LLC,PA0281751,304931,KISH VIEW DAIRY LLC,Union Twp,Mifflin,SCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,08/30/2021,877.5,1279.63,4733 E MAIN ST,"BELLEVILLE, PA 17004-9296",Dairy - Holstein/Brown Swiss - Calf (0-1 yr) - 420 lbs (90-750)
855243,CHIQUES VIEW FARMS,PAG123928,367844,REIFF KENTON,Rapho Twp,Lancaster,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,05/24/2022,327.5,466.02,1775 PINKERTON RD,"MOUNT JOY, PA 17552-9319","Goats, dairy - Doe - 125 lbs"
738447,BARRY FARMS CAFO,PAG123934,217968,BARRY CHRISTOPHER L,Heidelberg Twp,Lebanon,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,07/29/2024,636.2,1034.61,221 MICHTERS RD,"NEWMANSTOWN, PA 17073-8978",Beef - Finishing (8-24 mos) - 950 lbs (500-1400)
860662,RABERT POULTRY OPERATION,PAG123931,372288,RABERT TODD,Monroe Twp,Cumberland,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,12/15/2022,524.82,274.29,380 S LOCUST POINT RD,"MECHANICSBURG, PA 17055-9776","Poultry - Chickens - Broiler, medium (0-35 days) - 2.55 lbs (0.090-5.0)"
735335,DEAN STUMP FARM,PAG123652,335423,STUMP DEAN,Tulpehocken Twp,Berks,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,05/28/2024,12.5,410.64,48 REHRERSBURG ROAD,"RICHLAND, PA 17087",Poultry - Chickens - Layer (18-90 wks) - 3.14 lbs (weighted avg)
735335,DEAN STUMP FARM,PAG123652,335423,STUMP DEAN,Tulpehocken Twp,Berks,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,05/28/2024,12.5,410.64,48 REHRERSBURG ROAD,"RICHLAND, PA 17087",Dairy - Holstein/Brown Swiss - Heifer (1-2 yr) - 1000 lbs (750-1250)
700815,DOUGLAS ROHRER FARM,PAG123633,249777,DL ROHRER FARMS LLC,West Lampeter Twp,Lancaster,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,03/27/2024,774.6,596.87,1728 BRIDGE RD,"LANCASTER, PA 17602-1804",Beef - Cow - 1400 lbs
700815,DOUGLAS ROHRER FARM,PAG123633,249777,DL ROHRER FARMS LLC,West Lampeter Twp,Lancaster,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,03/27/2024,774.6,596.87,1728 BRIDGE RD,"LANCASTER, PA 17602-1804",Beef - Calf (0-8 mos) - 300 lbs (100-500)
565301,SCHRACK FARMS PARTNERSHIP CAFO,PA0228401,122703,SCHRACK FARMS PARTNERSHIP,Logan Twp,Clinton,NCRO,Manure Storage and Wastewater Impoundments,CAFO Individual Permit,06/13/2023,2218.7,4783.34,860 W VALLEY RD,"LOGANTON, PA 17747-8935",Dairy - Holstein/Brown Swiss - Cow - 1450 lbs
565301,SCHRACK FARMS PARTNERSHIP CAFO,PA0228401,122703,SCHRACK FARMS PARTNERSHIP,Logan Twp,Clinton,NCRO,Manure Storage and Wastewater Impoundments,CAFO Individual Permit,06/13/2023,2218.7,4783.34,860 W VALLEY RD,"LOGANTON, PA 17747-8935",Dairy - Holstein/Brown Swiss - Calf (0-1 yr) - 420 lbs (90-750)
775581,ROBERT L BRUBAKER CAMP ROAD FARM,PAG123780,279748,BRUBAKER ROBERT L JR,Mount Joy Twp,Lancaster,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,08/05/2021,1,314.54,2205 CAMP ROAD,"MANHEIM, PA 17545","Poultry - Chickens - Broiler, large (0-53 days) - 3.55 lbs (0.09-7.0)"
784285,NORTH MOUNTAIN GOBBLER #1,PAG123801,317874,NORTH MTN GOBBLERS,Hamilton Twp,Franklin,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,06/26/2024,12.1,382.08,6429 FORT MCCORD ROAD,"CHAMBERSBURG, PA 17202",Beef - Calf (0-8 mos) - 300 lbs (100-500)
563745,BDS FARMS CAFO,PAG124803,360020,BDS FARMS LLC,Spring Twp,Snyder,NCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,11/26/2024,285.4,565.07,282 TROUP RD,"BEAVER SPRINGS, PA 17812-9249",Swine - Grow finish - 165 lbs (57-273)
572970,BEAVERTON SOW CAFO OPERATION,PAG124840,216104,COUNTRY VIEW FAMILY FARMS LLC,Beaver Twp,Snyder,NCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,04/17/2024,1,932.07,429 BEAVERTON LN,"BEAVERTOWN, PA 17813-9265",Swine - Gestating Sow - 450 lbs
700861,HILLSIDE ACRES FARM,PAG123631,249783,HILLSIDE ACRES,Albany Twp,Berks,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,04/16/2024,1.9,846.15,350 DOTTERER RD,"LENHARTSVILLE, PA 19534-9500",Swine - Gestating Sow - 450 lbs
731528,WOLGEMUTH FAIRVIEW FARMS,PAG123914,248616,WOGLEMUTH DOUG,Mount Joy Boro,Lancaster,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,08/20/2024,822.4,987.29,1197 LANDIS RD,"ELIZABETHTOWN, PA 17022-9799",Swine - Wean to finish - 143 lbs (13-273)
810490,LEYDIG CAFO,PAG126101,328471,LEYDIG KEITH & DENISE,Brothersvalley Twp,Somerset,SWRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,08/15/2024,598.4,726.90,380 SWAMPCREEK RD,"GARRETT, PA 15542-9019",Swine - Grow finish - 165 lbs (57-273)
752772,JOHN PEPPER ENTERPRISES LLC HOG FINISHING BARNS,PAG124842,293442,JOHN PEPPER ENTERPRISES LLC,Granville Twp,Bradford,NCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,07/08/2024,2.1,825.39,1075 NEW RD,"GRANVILLE SUMMIT, PA 16926",Beef - Calf (0-8 mos) - 300 lbs (100-500)
642364,JOE BURKHOLDER CAFO,PAG123530,298467,JOSEPH BURKHOLDER & SON,Ephrata Twp,Lancaster,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,11/03/2021,75.7,351.61,1440 DIVISION HWY,"EPHRATA, PA 17522-8832",Swine - Grow finish - 165 lbs (57-273)
819449,DAVID KAUFFMAN CAFO,PA0266582,335881,KAUFFMAN DAVID,Jackson Twp,Huntingdon,SCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,02/15/2023,88.6,778.30,12050 GREENWOOD RD,"HUNTINGDON, PA 16652-6020",Beef - Calf (0-8 mos) - 300 lbs (100-500)
705928,JUST-A-MERE FAMILY FARM CAFO,PAG124821,337523,JUST A MERE FAMILY FARM LLC,Lower Mahanoy Twp,Northumberland,NCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,06/03/2024,314,89,3746 MAHANTANGO CREEK RD,"DALMATIA, PA 17017-7235","Poultry - Duck, finisher (17-38 days) - 4.88 lbs (2.5-7.25))"
734877,FUNK FARM CAFO,PAG123693,248617,FUNK JEFF,Warren Twp,Franklin,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,08/22/2024,354,641.85,18255 FORT DAVIS RD,"MERCERSBURG, PA 17236-9430",Beef - Calf (0-8 mos) - 300 lbs (100-500)
563437,KULP FAMILY DAIRY CAFO,PA0088404,145838,KULP FAMILY DAIRY LLC,North Woodbury Twp,Blair,SCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,10/28/2022,2610.2,4775.70,1691 MILLERSTOWN RD,"MARTINSBURG, PA 16662-8020",Dairy - Holstein/Brown Swiss - Cow - 1450 lbs
563437,KULP FAMILY DAIRY CAFO,PA0088404,145838,KULP FAMILY DAIRY LLC,North Woodbury Twp,Blair,SCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,10/28/2022,2610.2,4775.70,1691 MILLERSTOWN RD,"MARTINSBURG, PA 16662-8020",Dairy - Holstein/Brown Swiss - Calf (0-1 yr) - 420 lbs (90-750)
848423,MERKEY FARM,PA0281816,361812,MERKEY HAROLD E,Rapho Twp,Lancaster,SCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,09/21/2021,45.8,408.85,2904 SUNNYSIDE RD,"MANHEIM, PA 17545-8333",Beef - Finishing (8-24 mos) - 950 lbs (500-1400)
860667,AURAND POULTRY LLC,PAG124875,372294,AURAND POULTRY LLC,Madison Twp,Columbia,NCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,11/26/2024,835.1,641.88,135 WOODSIDE DR,"BLOOMSBURG, PA 17815",Poultry - Chickens - Layer (18-90 wks) - 3.14 lbs (weighted avg)
844802,LEONARD R MARTIN CAFO,PAG123908,358698,MARTIN LEONARD R,Bethel Twp,Berks,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,11/05/2024,1,363.75,105 BORDNER RD,"RICHLAND, PA 17087-9608","Poultry - Chickens - Broiler, large (0-53 days) - 3.55 lbs (0.09-7.0)"
861187,CEDAR HILL PORK,PAG123933,372597,CEDAR HILL PORK,Washington Twp,York,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,04/25/2024,1,389.75,120 HARBOLD ALTLAND RD,"WELLSVILLE, PA 17365-9535",Swine - Grow finish - 165 lbs (57-273)
861187,CEDAR HILL PORK,PAG123933,372597,CEDAR HILL PORK,Washington Twp,York,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,04/25/2024,1,389.75,120 HARBOLD ALTLAND RD,"WELLSVILLE, PA 17365-9535",Swine - Boar - 450 lbs
847537,NEIL L. MARTIN CAFO,PAG123912,360247,MARTIN NEIL,Upper Tulpehocken Twp,Berks,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,05/03/2024,77.2,387.41,749 BLOODY SPRING RD,"BETHEL, PA 19507-8943","Poultry - Chickens - Broiler, large (0-53 days) - 3.55 lbs (0.09-7.0)"
879474,BLUE LAKE FARM,PA0281905,384679,HORNING MATTHEW,West Buffalo Twp,Union,NCRO,,CAFO Individual Permit,NOT ISSUED,21.6,240,3370 FOREST HILL RD,"MIFFLINBURG, PA 17844-7614","Goats, meat - Doe - 150 lbs "
879474,BLUE LAKE FARM,PA0281905,384679,HORNING MATTHEW,West Buffalo Twp,Union,NCRO,,CAFO Individual Permit,NOT ISSUED,21.6,240,3370 FOREST HILL RD,"MIFFLINBURG, PA 17844-7614",Ponies & Donkeys - Mature - 600 lbs
879474,BLUE LAKE FARM,PA0281905,384679,HORNING MATTHEW,West Buffalo Twp,Union,NCRO,,CAFO Individual Permit,NOT ISSUED,21.6,240,3370 FOREST HILL RD,"MIFFLINBURG, PA 17844-7614",Other
765374,JOSHUA AKERS DUCK CAFO,PA0262021,303752,AKERS JOSHUA T,East Drumore Twp,Lancaster,SCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,07/17/2024,216.5,113.93,528 CHURCH RD,"QUARRYVILLE, PA 17566-9790","Poultry - Duck, finisher (17-38 days) - 4.88 lbs (2.5-7.25))"
517384,SULLIVAN FARMS CAFO OPERATION,PAG124846,216104,COUNTRY VIEW FAMILY FARMS LLC,Sullivan Twp,Tioga,NCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,05/20/2024,1,3036.60,372 HEMLOCK HILL RD,"COVINGTON, PA 16917-9430",Swine - Sow and litter - 470 lbs
700907,SPRING MAPLE FARM,PAG123641,250308,ANDREWS RANDALL,West Lampeter Twp,Lancaster,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,10/09/2024,259.7,1159.45,421 PENN GRANT ROAD,"LANCASTER, PA 17602","Poultry - Chickens - Broiler, large (0-53 days) - 3.55 lbs (0.09-7.0)"
723794,RUMAR FARMS,PAG123680,272578,ZIMMERMAN H LAMAR,Rapho Twp,Lancaster,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,06/25/2024,13.6,442.53,1908 SHUMAKER RD,"MANHEIM, PA 17545-8227","Poultry - Chickens - Broiler, large (0-53 days) - 3.55 lbs (0.09-7.0)"
716441,FORRY FARM CAFO,PAG123670,253804,DANIEL AND DWIGHT K FORRY,West Hempfield Twp,Lancaster,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,10/08/2021,341.4,664.77,250 INDIAN HEAD RD,"COLUMBIA, PA 17512-9798","Goats, meat - Doe - 150 lbs "
805392,RIVER VALLEY FARM,PAG124852,216104,COUNTRY VIEW FAMILY FARMS LLC,Deerfield Twp,Tioga,NCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,04/11/2024,1,3271.50,504 DOAN RD,"KNOXVILLE, PA 16928-9434",Swine - Boar - 450 lbs
731811,ROBERT L. BRUBAKER JR,PAG123689,279748,BRUBAKER ROBERT L JR,Rapho Twp,Lancaster,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,10/19/2021,1,596.63,2871 N COLEBROOK RD,"MANHEIM, PA 17545-8309",Poultry - Chickens - Pullet (0-16 wks) - 1.38 lbs (0.08-2.67)
820821,HEMLOCK LN CAFO,PAG123836,331016,HEMLOCK LN FARM LP,Catharine Twp,Blair,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,07/09/2024,594,761.35,121 HEMLOCK LN,"WILLIAMSBURG, PA 16693-6531",Beef - Finishing (8-24 mos) - 950 lbs (500-1400)
794176,MARTIN SWINE FINISHING BARN,PA0232696,215959,MARTIN NOAH N,Cogan House Twp,Lycoming,NCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,10/17/2022,437.2,724.41,1821 STATE ROUTE 184,"TROUT RUN, PA 17771-8634",Beef - Calf (0-8 mos) - 300 lbs (100-500)
808922,LEN ROSE FARM,PAG123824,325621,LEONARD HOOVER,Upper Tulpehocken Twp,Berks,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,09/04/2024,193.2,369.70,6188A OLD ROUTE 22,"BERNVILLE, PA 19506-8457",Dairy - Holstein/Brown Swiss - Calf (0-1 yr) - 420 lbs (90-750)
633451,HUBER SWINE FARM CAFO,PAG123569,204698,HUBER JOHN,Northeast Madison Twp,Perry,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,11/17/2021,1,1000.22,558 TUSCARORA PATH,"LOYSVILLE, PA 17047-9462",Swine - Wean to finish - 143 lbs (13-273)
810063,ROARING CREEK EGG FARMS LLC,PA0232777,328030,ROARING CREEK EGG FARMS LLC,Cleveland Twp,Columbia,NCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,01/03/2025,1,3436.09,319 MIDDLE ROAD,"CATAWISSA, PA 17820-8212",Poultry - Chickens - Layer (18-90 wks) - 3.14 lbs (weighted avg)
849897,BARRICK DAIRY,PA0281859,363180,BARRICK DAIRY LLC,Penn Twp,Cumberland,SCRO,Manure Storage and Wastewater Impoundments,CAFO Individual Permit,06/13/2024,976.1,1616.22,2661 WALNUT BOTTOM RD,"CARLISLE, PA 17015-9329",Dairy - Holstein/Brown Swiss - Cow - 1450 lbs
